alien,card_id,card_name,price,card_type_code,left_top_symbol_count,left_top_symbol_color,discard_action_code,right_top_color,scan_action_code,bottom_right_color,income_code
奥陌陌,0.webp,改变轨迹,2,2,2,灰,5,红,1,绿,1
奥陌陌,1.webp,对照分析,1,1,2,蓝,4,红,1,绿,1
奥陌陌,2.webp,外星化石发现,1,2,1,红,3,蓝,2,绿,1
奥陌陌,3.webp,挖掘探测车,1,2,2,蓝,4,黑,3,黄,0
奥陌陌,4.webp,外星化石样本,2,1,2,蓝,4,蓝,2,蓝,3
奥陌陌,5.webp,天时地利,2,2,2,蓝,4,黄,0,黄,0
奥陌陌,6.webp,探测器定制,2,0,2,蓝,4,蓝,2,黄,0
奥陌陌,7.webp,争分夺秒,3,0,1,红,3,红,1,绿,1
奥陌陌,8.webp,地形测绘,3,3,2,灰,5,黄,0,黄,0
奥陌陌,9.webp,天外来客,2,2,1,红,3,蓝,2,灰,2
