alien,card_id,card_name,price,card_type_code,left_top_symbol_count,left_top_symbol_color,discard_action_code,right_top_color,scan_action_code,bottom_right_color,income_code
异常点,0.webp,不可思议,2,1,1,红,3,黄,0,绿,1
异常点,1.webp,我们被监视了?,1,2,2,蓝,4,黄,0,蓝,3
异常点,2.webp,近距离观察,1,0,1,红,3,红,1,黄,0
异常点,3.webp,吃瓜群众,1,1,2,蓝,4,黄,0,黄,0
异常点,4.webp,全网热搜,1,0,2,蓝,4,红,1,黄,0
异常点,5.webp,仔细倾听,2,0,2,灰,5,红,1,灰,2
异常点,6.webp,信息胶囊,2,0,2,灰,5,蓝,2,黄,0
异常点,7.webp,新物理学,3,0,1,红,3,黑,3,绿,1
异常点,8.webp,生活常态,3,0,2,灰,5,蓝,2,绿,1
异常点,9.webp,生命迹象,1,0,1,红,3,蓝,2,灰,2
