alien,card_id,card_name,price,card_type_code,left_top_symbol_count,left_top_symbol_color,discard_action_code,right_top_color,scan_action_code,bottom_right_color,income_code
符文族,0.webp,06000698o0e,1,3,1,橙,,黑,3,黄,0
符文族,1.webp,09090604040,2,0,1,黄,,黑,3,绿,1
符文族,2.webp,00049000,0,1,1,绿,,黑,3,黄,0
符文族,3.webp,0 。60000800,0,1,1,绿,,黄,0,灰,2
符文族,4.webp,0《200,2,1,1,灰,,黑,3,绿,1
符文族,5.webp,009#00,1,1,1,蓝,,黑,3,灰,2
符文族,6.webp,80080690,1,1,1,绿,,黑,3,黄,0
符文族,7.webp,0689060920,2,0,1,黄,,黑,3,绿,1
符文族,8.webp,0009。9660090:,1,3,1,绿,,黑,3,黄,0
符文族,9.webp,20098 009000,2,2,1,红,,黑,3,灰,2
