alien,card_id,card_name,price,card_type_code,left_top_symbol_count,left_top_symbol_color,discard_action_code,right_top_color,scan_action_code,bottom_right_color,income_code
阿米巴,0.webp,自动分析,2,1,1,红,3,蓝,2,灰,2
阿米巴,1.webp,安全协议,1,1,2,蓝,4,红,1,黄,0
阿米巴,2.webp,科学论文,1,1,2,蓝,4,蓝,2,黄,0
阿米巴,3.webp,极端条件测试,0,0,1,红,3,黑,3,绿,1
阿米巴,4.webp,起源地,1,0,2,蓝,4,黄,0,绿,1
阿米巴,5.webp,生物特征筛选,1,3,2,蓝,4,红,1,绿,1
阿米巴,6.webp,物理表征,1,3,2,蓝,4,黄,0,灰,2
阿米巴,7.webp,基因组表征,1,3,2,蓝,4,蓝,2,黄,0
阿米巴,8.webp,突破性理论,1,2,2,蓝,4,红,1,灰,2
阿米巴,9.webp,低重力研究,2,1,1,红,3,黄,0,绿,1
